CompanyId,CompanyName,FleetId,LocationId,LocationName,StockType,TyreId,TyreSerialNumber,ProductName,LastKnownPressure,LastKnownTreadDepth,TyreInitialTreadDepth,TyreMountMileage,TyreMileage,TyreLifeName,TyreCode,TyreMountDate,LastMountedVehicle
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,7d05446c-34bf-4539-a617-9508bafd704e,23173,Super Cargo SC519 11R22.5,,15,15,123079,0,New,,3/6/2022 5:00:00 PM +00:00,AYK702
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,39564fb0-14c0-494f-83f8-3af1db82754a,13151,Super Cargo SC211 11R22.5,6.20527,9.6,16,21214,6559,New,,1/8/2022 4:59:40 PM +00:00,BFO814
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,da316b11-b68e-442f-88a2-de23ef44dc00,13150,Super Cargo SC211 11R22.5,6.41211,10.5,16,21214,6559,New,,1/8/2022 4:59:40 PM +00:00,BFO814
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,65a48056-2a1a-44a6-b55f-12c364a5e4c6,123125,Super Cargo SC305 11R22.5,6.6879,13.1,23,19794,7979,New,,12/20/2021 4:59:41 PM +00:00,BFO814
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,66013d52-4ded-4b71-83df-078b702fe6d6,123126,Super Cargo SC305 11R22.5,,12.6,23,19794,7979,New,,12/20/2021 4:59:41 PM +00:00,BFO814
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,35ecb3ee-f4bf-40c3-9d0c-6b4d18beea09,123127,Super Cargo SC305 11R22.5,,11.1,23,19794,7979,New,,12/20/2021 4:59:41 PM +00:00,BFO814
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,3657262a-d0ae-488f-a4f5-837bf17dcb0f,123128,Super Cargo SC305 11R22.5,2.48211,13.4,23,19794,7979,New,,12/20/2021 4:59:41 PM +00:00,BFO814
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,610a9979-9dcc-4656-9a1d-247d25a3c208,33200,Super Cargo SC305 11R22.5,6.8258,23.6,23,17885,0,New,,3/10/2022 5:00:02 PM +00:00,BHU782
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,0d236026-7af1-41ea-b672-c6ae727d735a,33199,Super Cargo SC305 11R22.5,6.89474,23.3,23,17885,0,New,,3/10/2022 5:00:02 PM +00:00,BHU782
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,2ba541e2-5c13-4fdd-9472-380e5d635524,33197,Super Cargo SC305 11R22.5,6.89474,23.3,23,17885,0,New,,3/10/2022 5:00:02 PM +00:00,BHU782
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,97098899-7a3d-43ad-8dda-4efa0c06c31f,33198,Super Cargo SC305 11R22.5,6.89474,23.4,23,17885,0,New,,3/10/2022 5:00:02 PM +00:00,BHU782
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,StagingArea,97333c76-1b9f-4c72-a5a3-0bb74f17282d,13148,Super Cargo SC305 11R22.5,,23,23,,0,New,,,
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,StagingArea,584c0f2a-eb33-42d1-b34c-98ad3d23eb86,13146,Super Cargo SC305 11R22.5,,23,23,,0,New,,,
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,StagingArea,c046832e-7568-49c9-8c29-8cb0e997a73f,13144,Super Cargo SC305 11R22.5,,23,23,,0,New,,,
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,StagingArea,7b0ba8df-88b2-4105-b3fe-e325358e84b8,13137,Super Cargo SC305 11R22.5,,23,23,,0,New,,,
